Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,latitude,longitude
151660,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410,Rockaways,2005,01/01/2005,13.7,,40.5592426,-73.9193835
816825,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410,Rockaways,2019,01/01/2019,14,,40.5592426,-73.9193835
816826,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,410,Rockaways,2010,01/01/2010,16.3,,40.5592426,-73.9193835
151670,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,5,Staten Island,2005,01/01/2005,20.8,,40.5724274,-74.1452007812605
816901,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,5,Staten Island,2019,01/01/2019,22.9,,40.5724274,-74.1452007812605
816902,643,Annual vehicle miles traveled,Million miles,per square mile,Borough,5,Staten Island,2010,01/01/2010,22.6,,40.5724274,-74.1452007812605
154596,643,Annual vehicle miles traveled,Million miles,per square mile,CD,313,Coney Island (CD13),2005,01/01/2005,31.9,,40.5765081,-73.9929419
816741,643,Annual vehicle miles traveled,Million miles,per square mile,CD,313,Coney Island (CD13),2019,01/01/2019,41,,40.5765081,-73.9929419
816742,643,Annual vehicle miles traveled,Million miles,per square mile,CD,313,Coney Island (CD13),2010,01/01/2010,43.9,,40.5765081,-73.9929419
154598,643,Annual vehicle miles traveled,Million miles,per square mile,CD,315,Sheepshead Bay (CD15),2005,01/01/2005,42.9,,40.5912161,-73.9445822
816737,643,Annual vehicle miles traveled,Million miles,per square mile,CD,315,Sheepshead Bay (CD15),2019,01/01/2019,55.3,,40.5912161,-73.9445822
816738,643,Annual vehicle miles traveled,Million miles,per square mile,CD,315,Sheepshead Bay (CD15),2010,01/01/2010,54,,40.5912161,-73.9445822
816819,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,503,Willowbrook,2019,01/01/2019,34.3,,40.6031598,-74.1384762
816820,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,503,Willowbrook,2010,01/01/2010,31,,40.6031598,-74.1384762
151663,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,503,Willowbrook,2005,01/01/2005,26.4,,40.6031598,-74.1384762
816746,643,Annual vehicle miles traveled,Million miles,per square mile,CD,311,Bensonhurst (CD11),2010,01/01/2010,44.1,,40.6049772,-73.9934061
816745,643,Annual vehicle miles traveled,Million miles,per square mile,CD,311,Bensonhurst (CD11),2019,01/01/2019,48.6,,40.6049772,-73.9934061
154594,643,Annual vehicle miles traveled,Million miles,per square mile,CD,311,Bensonhurst (CD11),2005,01/01/2005,40.7,,40.6049772,-73.9934061
151661,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,501,Port Richmond,2005,01/01/2005,17.6,,40.6331592,-74.1365318
816824,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,501,Port Richmond,2010,01/01/2010,16.9,,40.6331592,-74.1365318
816823,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,501,Port Richmond,2019,01/01/2019,17,,40.6331592,-74.1365318
